File,WaveData20200720_025.csv,
Date/Time,20-07-20/11:04,

Trace,A
Center Wavelength,1546.5,nm
Span Wavelength,5,nm
Start Wavelength,1544,nm
Stop Wavelength,1549,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544,nm
Stop,1549,nm
Trace,B
Center Wavelength,1546.5,nm
Span Wavelength,5,nm
Start Wavelength,1544,nm
Stop Wavelength,1549,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544,nm
Stop,1549,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1544.367500,1.1480E-005,1544.367500,1.1480E-005
1544.370000,1.1480E-005,1544.370000,1.1480E-005
1544.372500,1.1480E-005,1544.372500,1.1480E-005
1544.375000,1.1480E-005,1544.375000,1.1480E-005
1544.377500,1.1480E-005,1544.377500,1.1480E-005
1544.380000,1.1450E-005,1544.380000,1.1450E-005
1544.382500,1.1440E-005,1544.382500,1.1440E-005
1544.385000,1.1430E-005,1544.385000,1.1430E-005
1544.387500,1.1460E-005,1544.387500,1.1460E-005
1544.390000,1.1440E-005,1544.390000,1.1440E-005
1544.392500,1.1510E-005,1544.392500,1.1510E-005
1544.395000,1.1540E-005,1544.395000,1.1540E-005
1544.397500,1.1540E-005,1544.397500,1.1540E-005
1544.400000,1.1560E-005,1544.400000,1.1560E-005
1544.402500,1.1540E-005,1544.402500,1.1540E-005
1544.405000,1.1560E-005,1544.405000,1.1560E-005
1544.407500,1.1580E-005,1544.407500,1.1580E-005
1544.410000,1.1500E-005,1544.410000,1.1500E-005
1544.412500,1.1530E-005,1544.412500,1.1530E-005
1544.415000,1.1510E-005,1544.415000,1.1510E-005
1544.417500,1.1460E-005,1544.417500,1.1460E-005
1544.420000,1.1510E-005,1544.420000,1.1510E-005
1544.422500,1.1450E-005,1544.422500,1.1450E-005
1544.425000,1.1440E-005,1544.425000,1.1440E-005
1544.427500,1.1440E-005,1544.427500,1.1440E-005
1544.430000,1.1500E-005,1544.430000,1.1500E-005
1544.432500,1.1450E-005,1544.432500,1.1450E-005
1544.435000,1.1530E-005,1544.435000,1.1530E-005
1544.437500,1.1510E-005,1544.437500,1.1510E-005
1544.440000,1.1530E-005,1544.440000,1.1530E-005
1544.442500,1.1540E-005,1544.442500,1.1540E-005
1544.445000,1.1530E-005,1544.445000,1.1530E-005
1544.447500,1.1460E-005,1544.447500,1.1460E-005
1544.450000,1.1430E-005,1544.450000,1.1430E-005
1544.452500,1.1430E-005,1544.452500,1.1430E-005
1544.455000,1.1380E-005,1544.455000,1.1380E-005
1544.457500,1.1390E-005,1544.457500,1.1390E-005
1544.460000,1.1330E-005,1544.460000,1.1330E-005
1544.462500,1.1350E-005,1544.462500,1.1350E-005
1544.465000,1.1380E-005,1544.465000,1.1380E-005
1544.467500,1.1340E-005,1544.467500,1.1340E-005
1544.470000,1.1410E-005,1544.470000,1.1410E-005
1544.472500,1.1400E-005,1544.472500,1.1400E-005
1544.475000,1.1460E-005,1544.475000,1.1460E-005
